region_number,success_count,best_episode_reward,mastered,active
1,15,5276.367676,1,0
2,35,2742.218018,1,0
3,53,2655.795654,1,0
4,5,4674.841309,1,0
5,5,2160.060791,1,0
6,22,7957.882324,1,0
7,5,1332.305786,1,0
8,8,1186.716675,1,0
9,578,916.980408,1,1
